Dim_Grande;Domanda_Alta;Asse_Lungo;Istanza_Num;Tempo_Esecuzione(s);Memoria_Picco(MB);Iterazioni_Pricing;1_Euristica;2_Intera;3_Arrotondata_Iniziale;4_Ottima_Rilassata;5_Intera_Arrotondando
False;False;False;1;0.95;0.098;18;65;65.0;65;23.83;25
False;False;False;2;0.41;0.06;7;33;33.0;33;10.0;13
False;False;False;3;0.91;0.098;18;58;58.0;58;8.76;14
False;False;False;4;0.63;0.077;12;30;30.0;30;5.72;8
False;False;False;5;0.71;0.081;13;44;44.0;44;6.15;10
False;False;False;6;0.98;0.101;19;62;62.0;62;8.65;13
False;False;False;7;1.64;0.095;18;60;60.0;60;12.02;18
False;False;False;8;0.73;0.082;14;37;37.0;37;5.73;9
False;False;False;9;0.79;0.086;15;50;50.0;50;8.76;14
False;False;False;10;0.7;0.081;13;39;39.0;39;15.5;17
False;False;True;1;0.92;0.094;17;37;37.0;37;1.23;8
False;False;True;2;0.5;0.068;9;31;31.0;31;2.14;5
False;False;True;3;0.98;0.1;19;46;46.0;46;2.44;10
False;False;True;4;0.84;0.091;16;41;41.0;41;2.14;9
False;False;True;5;1.42;0.048;10;29;29.0;29;1.09;5
False;False;True;6;0.87;0.089;16;50;50.0;50;1.5;10
False;False;True;7;0.78;0.087;15;57;57.0;57;2.63;10
False;False;True;8;0.54;0.071;10;20;20.0;20;1.34;5
False;False;True;9;0.75;0.084;14;49;49.0;49;2.17;7
False;False;True;10;0.92;0.094;17;44;44.0;44;1.19;9
False;True;False;1;0.36;0.058;6;377;377.0;377;188.5;191
False;True;False;2;0.83;0.091;16;784;784.0;784;119.07;123
False;True;False;3;1.9;0.079;20;568;568.0;568;106.8;110
False;True;False;4;0.8;0.085;15;479;479.0;479;108.07;112
False;True;False;5;0.94;0.166;18;565;565.0;565;158.78;162
False;True;False;6;0.89;0.091;16;697;697.0;697;156.15;159
False;True;False;7;0.88;0.094;17;553;553.0;553;104.89;110
False;True;False;8;0.44;0.065;8;302;302.0;302;117.2;119
False;True;False;9;0.36;0.058;6;355;355.0;355;151.67;153
False;True;False;10;1.35;0.07;11;373;373.0;373;49.92;53
False;True;True;1;0.56;0.071;10;630;630.0;630;38.86;42
False;True;True;2;0.59;0.069;10;372;372.0;372;25.81;30
False;True;True;3;0.59;0.069;10;379;379.0;379;25.68;28
False;True;True;4;0.72;0.081;13;700;700.0;700;39.53;43
False;True;True;5;0.85;0.088;15;644;644.0;644;20.34;25
False;True;True;6;0.88;0.088;15;694;694.0;694;31.74;36
False;True;True;7;0.71;0.072;10;401;401.0;401;18.79;21
False;True;True;8;0.57;0.071;10;342;342.0;342;17.97;20
False;True;True;9;2.11;0.08;20;830;830.0;830;25.02;31
False;True;True;10;0.79;0.082;14;664;664.0;664;25.97;31
True;False;False;1;4.28;0.302;80;263;263.0;263;38.95;65
True;False;False;2;4.84;0.168;83;240;240.0;240;47.89;69
True;False;False;3;5.29;0.356;98;271;271.0;271;76.85;95
True;False;False;4;4.66;0.205;84;214;214.0;214;40.05;63
True;False;False;5;4.87;0.334;91;263;263.0;263;48.67;72
True;False;False;6;6.06;0.229;100;312;312.0;312;79.79;106
True;False;False;7;6.03;0.427;120;290;290.0;290;81.02;107
True;False;False;8;5.69;0.353;111;250;250.0;250;71.12;92
True;False;False;9;4.21;0.316;85;285;285.0;285;54.01;77
True;False;False;10;4.89;0.321;92;291;291.0;291;45.05;70
True;False;True;1;4.97;0.341;93;284;284.0;284;10.23;50
True;False;True;2;4.08;0.253;74;247;247.0;247;6.87;48
True;False;True;3;4.02;0.286;75;260;260.0;260;12.4;49
True;False;True;4;4.48;0.178;81;256;256.0;256;7.9;49
True;False;True;5;3.82;0.272;71;247;247.0;247;12.16;46
True;False;True;6;4.62;0.307;82;255;255.0;255;14.51;54
True;False;True;7;4.29;0.292;78;257;257.0;257;8.77;49
True;False;True;8;4.39;0.293;77;281;281.0;281;15.7;51
True;False;True;9;3.84;0.232;68;233;233.0;233;7.26;45
True;False;True;10;4.11;0.286;75;292;292.0;292;18.76;50
True;True;False;1;4.88;0.188;91;3942;3942.0;3942;632.57;656
True;True;False;2;4.39;0.316;85;3682;3682.0;3682;578.58;598
True;True;False;3;5.36;0.192;99;3813;3813.0;3813;621.27;644
True;True;False;4;7.82;0.472;148;3616;3616.0;3616;1221.35;1241
True;True;False;5;5.15;0.355;99;3863;3863.0;3863;613.36;637
True;True;False;6;3.88;0.279;73;3533;3533.0;3533;515.31;532
True;True;False;7;5.25;0.306;91;4143;4143.0;4143;837.37;862
True;True;False;8;6.13;0.353;110;3898;3898.0;3898;903.23;925
True;True;False;9;4.96;0.318;87;3896;3896.0;3896;614.54;635
True;True;False;10;6.78;0.309;96;3662;3662.0;3662;1050.06;1066
True;True;True;1;3.79;0.261;68;3657;3657.0;3657;172.25;197
True;True;True;2;5.02;0.321;86;3862;3862.0;3862;124.45;151
True;True;True;3;4.23;0.212;70;3362;3362.0;3362;114.72;140
True;True;True;4;3.45;0.316;62;3365;3365.0;3365;190.9;214
True;True;True;5;4.42;0.226;72;3612;3612.0;3612;180.96;205
True;True;True;6;6.41;0.319;87;3922;3922.0;3922;145.84;169
True;True;True;7;4.1;0.255;65;3512;3512.0;3512;112.69;135
True;True;True;8;4.61;0.228;74;3600;3600.0;3600;177.91;203
True;True;True;9;4.4;0.29;76;3895;3895.0;3895;222.64;246
True;True;True;10;5.01;0.175;85;3926;3926.0;3926;123.76;151
